Date,time,close,open,price,volume,valueChange,percentageChange,nifty50
23-11-2021,11:48:05,75657.6,75800,76239,4623,581.4,0.768462124,17437.05
23-11-2021,11:49:05,75657.6,75800,76239,4637,581.4,0.768462124,17437
23-11-2021,11:50:05,75657.6,75800,76249,4652,591.4,0.781679567,17444
23-11-2021,11:51:05,75657.6,75800,76247,4667,589.4,0.779036078,17435
23-11-2021,11:52:05,75657.6,75800,76249,4681,591.4,0.781679567,17439
23-11-2021,11:53:05,75657.6,75800,76223,4531,423,0.55909783,17440.3
23-11-2021,11:55:06,75657.6,75800,76247.95,4542,447.95,0.590963061,17436.85
23-11-2021,11:56:05,75657.6,75800,76248,4545,448,0.591029024,17439
23-11-2021,11:57:05,75657.6,75800,76248,4547,448,0.591029024,17440.7
23-11-2021,11:58:05,75657.6,75800,76247.9,4548,447.9,0.590897098,17443.85
23-11-2021,11:59:07,75657.6,75800,76249,4568,449,0.592348285,17450.4
23-11-2021,12:00:05,75657.6,75800,76249,4568,449,0.592348285,17449.45
23-11-2021,12:01:07,75657.6,75800,76248,4570,448,0.591029024,17452.2
23-11-2021,12:03:06,75657.6,75800,76250,4576,450,0.593667546,17453.85
23-11-2021,12:04:06,75657.6,75800,76283,4618,483,0.637203166,17460.7
23-11-2021,12:05:05,75657.6,75800,76343.25,4630,543.25,0.716688654,17462.3
23-11-2021,12:06:05,75657.6,75800,76348.95,4636,548.95,0.724208443,17463.7
23-11-2021,12:07:05,75657.6,75800,76300,4639,500,0.659630607,17464.55
23-11-2021,12:08:05,75657.6,75800,76284,4645,484,0.638522427,17470.75
23-11-2021,12:09:06,75657.6,75800,76347.1,4655,547.1,0.72176781,17480.75
23-11-2021,12:10:05,75657.6,75800,76345.75,4677,545.75,0.719986807,17477.65
23-11-2021,12:11:06,75657.6,75800,76300.05,4676,500.05,0.65969657,17482.9
23-11-2021,12:12:05,75657.6,75800,76300.05,4676,500.05,0.65969657,17474.25
23-11-2021,12:13:07,75657.6,75800,76301.05,4700,501.05,0.661015831,17470.75
23-11-2021,12:14:05,75657.6,75800,76292,4709,492,0.649076517,17460.6
23-11-2021,12:15:05,75657.6,75800,76267.35,4719,467.35,0.616556728,17459.65
23-11-2021,12:16:06,75657.6,75800,76281.2,4726,481.2,0.634828496,17462.75
23-11-2021,12:17:05,75657.6,75800,76320.1,4730,520.1,0.686147757,17452.25
23-11-2021,12:18:06,75657.6,75800,76318.15,4732,518.15,0.683575198,17456.45
23-11-2021,12:19:05,75657.6,75800,76316,4734,516,0.680738786,17455.55
23-11-2021,12:20:06,75657.6,75800,76274.15,4736,474.15,0.625527704,17454.25
